source_protein_name	source_domain	source_uniprot	bp_protein_name	bp_uniprot	bp_domain	PDB
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin carboxyl-terminal hydrolase 7	q93009	peptidase_C19C	5kye
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin carboxyl-terminal hydrolase 7	q93009	peptidase_C19C	5kyf
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin carboxyl-terminal hydrolase isozyme L3	p15374	NA	6qml
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin carboxyl-terminal hydrolase isozyme L3	p15374	Peptidase_C12_UCH_L1_L3	6isu
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin carboxyl-terminal hydrolase isozyme L5	q9wup7	Peptidase_C12	4wlr
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin carboxyl-terminal hydrolase isozyme L5	q9wup7	UCH_C	4wlr
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin carboxyl-terminal hydrolase isozyme L5	q9y5k5	Peptidase_C12	4uel
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin carboxyl-terminal hydrolase isozyme L5	q9y5k5	Peptidase_C12	4uf6
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin carboxyl-terminal hydrolase isozyme L5	q9y5k5	UCH_C	4uel
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin carboxyl-terminal hydrolase isozyme L5	q9y5k5	UCH_C	4uf6
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin thioesterase	b9g207	NA	6k9p
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 D1	p51668	NA	5tut
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 D2	p62837	NA	5d0k
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 D2	p62837	NA	5d0m
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 D2	p62837	NA	5edv
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 D2	p62837	NA	5mnj
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 D2	p62837	NA	5ulf
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 D2	p62837	NA	5ulh
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 D2	p62837	NA	5ulk
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 D2	p62837	NA	5vzw
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 D2	p62837	NA	6hpr
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 D3	p61077	NA	5ifr
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 K	p61086	NA	6if1
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 K	p61086	UQ_con	5dfl
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 K	p61086	UQ_con	6jb6
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 K	p61086	UQ_con	6jb7
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 L3	p68036	UBCc	6cp2
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 L3	p68036	UBCc	6n13
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 N	p61088	NA	4whv
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 N	p61088	NA	5eya
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 N	p61088	NA	5h7s
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 N	p61088	NA	5vnz
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 N	p61088	NA	5vo0
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Ubiquitin-conjugating enzyme E2 S	q16763	UQ_con	5bnb
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Unconventional myosin-VI	q9um54	NA	2n13
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	WD repeat-containing protein 48	q8taf3	NA	5cvo
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Xanthomonas outer protein D	q3byj5	NA	5jp3
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Zinc finger-containing ubiquitin peptidase 1	q96ap4	NA	6ei1
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Zinc finger-containing ubiquitin peptidase 1	q96ap4	NA	6fge
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Zinc finger-containing ubiquitin peptidase 1	q96ap4	Peptidase_C78	6ei1
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	Zinc finger-containing ubiquitin peptidase 1	q96ap4	Peptidase_C78	6fge
Polyubiquitin-B	Ubl_ubiquitin	p0cg47	substrate		NA	6mse
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3l2q
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3l2r
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3l2u
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3l2v
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3l2w
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3os0
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3os1
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3os2
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3oy9
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3oya
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3oyb
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3oyc
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3oyd
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3oye
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3oyf
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3oyg
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3oyh
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3oyi
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3oyj
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3oyk
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3oyl
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3oym
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3oyn
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3s3m
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3s3n
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	3s3o
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	4bac
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	4bdy
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	4bdz
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	4be0
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	4be1
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	4be2
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	4e7h
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	4e7i
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	4e7j
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	4e7k
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	4e7l
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	4ikf
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	4ztf
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	4ztj
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	5frm
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	5fro
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	5no1
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	5uop
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	Integrase_H2C2	5uoq
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	2x6n
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	2x6s
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	2x74
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	2x78
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3dlr
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3l2q
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3l2r
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3l2u
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3l2v
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3l2w
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3os0
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3os1
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3os2
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3oy9
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3oya
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3oyb
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3oyc
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3oyd
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3oye
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3oyf
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3oyg
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3oyh
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3oyi
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3oyj
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3oyk
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3oyl
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3oym
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3oyn
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3s3m
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3s3n
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	3s3o
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	4bac
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	4bdy
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	4bdz
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	4be0
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	4be1
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	4be2
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	4e7h
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	4e7i
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	4e7j
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	4e7k
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	4e7l
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	4ikf
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	4ztf
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	4ztj
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	5frm
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	5frn
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	5fro
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	5mma
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	5mmb
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	5no1
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	5uop
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	NA	5uoq
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3l2q
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3l2r
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3l2u
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3l2v
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3l2w
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3os0
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3os1
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3os2
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3oy9
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3oya
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3oyb
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3oyc
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3oyd
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3oye
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3oyf
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3oyg
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3oyh
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3oyi
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3oyj
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3oyk
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3oyl
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3oym
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3oyn
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3s3m
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3s3n
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	3s3o
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	4bac
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	4bdy
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	4bdz
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	4be0
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	4be1
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	4be2
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	4e7h
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	4e7i
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	4e7j
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	4e7k
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	4e7l
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	4ikf
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	4ztf
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	4ztj
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	5frm
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	5fro
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	5no1
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	5uop
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	SH3_11	5uoq
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	2x6n
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	2x6s
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	2x74
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	2x78
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3dlr
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3l2q
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3l2r
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3l2u
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3l2v
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3l2w
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3os0
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3os1
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3os2
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3oy9
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3oya
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3oyb
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3oyc
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3oyd
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3oye
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3oyf
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3oyg
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3oyh
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3oyi
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3oyj
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3oyk
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3oyl
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3oym
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3oyn
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3s3m
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3s3n
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	3s3o
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	4bac
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	4bdy
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	4bdz
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	4be0
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	4be1
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	4be2
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	4e7h
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	4e7i
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	4e7j
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	4e7k
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	4e7l
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	4ikf
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	4ztf
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	4ztj
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	5frm
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	5frn
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	5fro
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	5mma
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	5mmb
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	5no1
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	5uop
Pro-Pol polyprotein	NA	p14350	Pro-Pol polyprotein	p14350	rve	5uoq
Protein AF-10	NA	p55197	Histone-lysine N-methyltransferase, H3 lysine-79 specific	f1q4w7	NA	6cko
Protein AF-10	NA	p55197	Histone-lysine N-methyltransferase, H3 lysine-79 specific	q8tek3	NA	6jn2
Protein AF-10	NA	p55197	Protein AF-10	p55197	NA	6ckn
Protein AF-10	NA	p55197	Protein AF-10	p55197	NA	6cko
Protein AF-10	NA	p55197	Protein AF-10	p55197	NA	6jn2
Protein AF-10	PHD_AF10_AF17	p55197	Histone-lysine N-methyltransferase, H3 lysine-79 specific	f1q4w7	NA	6cko
Protein AF-10	PHD_AF10_AF17	p55197	Histone-lysine N-methyltransferase, H3 lysine-79 specific	q8tek3	NA	6jn2
Protein AF-10	PHD_AF10_AF17	p55197	Protein AF-10	p55197	NA	6ckn
Protein AF-10	PHD_AF10_AF17	p55197	Protein AF-10	p55197	NA	6cko
Protein AF-10	PHD_AF10_AF17	p55197	Protein AF-10	p55197	NA	6jn2
Protein AF-9	YEATS_AF-9_like	p42568	BCL-6 corepressor	q6w2j9	NA	6b7g
Protein AF-9	YEATS_AF-9_like	p42568	Chromobox protein homolog 8	q9hc52	NA	2n4q
Protein AF-9	YEATS_AF-9_like	p42568	Histone-lysine N-methyltransferase, H3 lysine-79 specific	q8tek3	NA	2mv7
Protein AF-9	YEATS_AF-9_like	p42568	Peptide inhibitor PHQ-H3(Q5-K9)		NA	5yyf
Protein AF-9 homolog	YEATS_Yaf9_like	p53930	Protein AF-9 homolog	p53930	NA	3fk3
Protein AF-9 homolog	YEATS_Yaf9_like	p53930	Protein AF-9 homolog	p53930	YEATS_Yaf9_like	3fk3
Protein LANA1	NA	q9qr71	Bromodomain-containing protein 4	o60885	BET	2nd0
Protein LANA1	NA	q9qr71	Protein LANA1	q9qr71	NA	4uzb
Protein LANA1	NA	q9qr71	Protein LANA1	q9qr71	NA	4uzc
Protein arginine N-methyltransferase 5	PRMT5	o14744	Methylosome protein 50	q9bqa1	NA	4x60
Protein arginine N-methyltransferase 5	PRMT5	o14744	Methylosome protein 50	q9bqa1	NA	4x61
Protein arginine N-methyltransferase 5	PRMT5	o14744	Methylosome protein 50	q9bqa1	NA	4x63
Protein arginine N-methyltransferase 5	PRMT5	o14744	Methylosome protein 50	q9bqa1	NA	5c9z
Protein arginine N-methyltransferase 5	PRMT5	o14744	Methylosome protein 50	q9bqa1	NA	5emj
Protein arginine N-methyltransferase 5	PRMT5	o14744	Methylosome protein 50	q9bqa1	NA	5emk
Protein arginine N-methyltransferase 5	PRMT5	o14744	Methylosome protein 50	q9bqa1	NA	5eml
Protein arginine N-methyltransferase 5	PRMT5	o14744	Methylosome protein 50	q9bqa1	NA	5emm
Protein arginine N-methyltransferase 5	PRMT5	o14744	Methylosome protein 50	q9bqa1	NA	6ckc
Protein arginine N-methyltransferase 5	PRMT5	o14744	Methylosome protein 50	q9bqa1	NA	6k1s
Protein arginine N-methyltransferase 5	PRMT5	o14744	Methylosome protein 50	q9bqa1	NA	6rll
Protein arginine N-methyltransferase 5	PRMT5	o14744	Protein arginine N-methyltransferase 5	o14744	NA	5emj
Protein arginine N-methyltransferase 5	PRMT5	o14744	Protein arginine N-methyltransferase 5	o14744	NA	5emk
Protein arginine N-methyltransferase 5	PRMT5	o14744	Protein arginine N-methyltransferase 5	o14744	NA	5eml
Protein arginine N-methyltransferase 5	PRMT5	o14744	Protein arginine N-methyltransferase 5	o14744	NA	5emm
Protein arginine N-methyltransferase 5	PRMT5	o14744	Protein arginine N-methyltransferase 5	o14744	NA	6ckc
Protein arginine N-methyltransferase 5	PRMT5	o14744	Protein arginine N-methyltransferase 5	o14744	PRMT5	5emj
Protein arginine N-methyltransferase 5	PRMT5	o14744	Protein arginine N-methyltransferase 5	o14744	PRMT5	5emk
Protein arginine N-methyltransferase 5	PRMT5	o14744	Protein arginine N-methyltransferase 5	o14744	PRMT5	5eml
Protein arginine N-methyltransferase 5	PRMT5	o14744	Protein arginine N-methyltransferase 5	o14744	PRMT5	5emm
